
SPDR S&P 500 ETF Trust,Last: 409.72,Change:  0.11
Date: 11 April, 2023 à 22:23 UTC−4,Bid: 409.9,Ask: 409.94,Size: 3*5,Volume: 59 252 940
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Apr 11 2023,SPY230411C00371000,0,0,38.31,39.51,0,6.2011,1,0,0,371.00,SPY230411P00371000,0.03,0,0,0.01,0,6.261,0,0,37
Tue Apr 11 2023,SPY230411C00372000,0,0,37.32,38.51,0,6.465,1,0,0,372.00,SPY230411P00372000,0.01,0,0,0.01,0,6.1056,0,0,218
Tue Apr 11 2023,SPY230411C00373000,0,0,36.32,37.51,0,6.3019,1,0,0,373.00,SPY230411P00373000,0.01,0,0,0.01,0,5.9503,0,0,33
Tue Apr 11 2023,SPY230411C00374000,35.84,0.86,35.32,36.51,5,6.139,1,0,6,374.00,SPY230411P00374000,0.01,0,0,0.01,0,5.7951,0,0,144
Tue Apr 11 2023,SPY230411C00375000,35.1,1.12,34.32,35.53,1,6.4262,1,0,6,375.00,SPY230411P00375000,0.01,0,0,0.01,0,5.6401,0,0,48
Tue Apr 11 2023,SPY230411C00376000,0,0,33.32,34.51,0,5.8134,1,0,0,376.00,SPY230411P00376000,0.01,0,0,0.01,0,5.4851,0,0,134
Tue Apr 11 2023,SPY230411C00377000,0,0,32.32,33.51,0,5.6508,1,0,0,377.00,SPY230411P00377000,0.01,0,0,0.01,0,5.3303,0,0,197
Tue Apr 11 2023,SPY230411C00378000,30.94,0,31.32,32.51,0,5.4881,1,0,1,378.00,SPY230411P00378000,0.01,0,0,0.01,0,5.1755,0,0,578
Tue Apr 11 2023,SPY230411C00379000,29.99,0,30.32,31.51,0,5.3256,1,0,1,379.00,SPY230411P00379000,0.01,-0.005,0,0.01,17,5.0208,0,0,5376
Tue Apr 11 2023,SPY230411C00380000,27.5,0,29.32,30.53,0,5.562,1,0,3,380.00,SPY230411P00380000,0.01,-0.005,0,0.01,2,4.8662,0,0,757
Tue Apr 11 2023,SPY230411C00381000,28.84,0.86,28.32,29.51,7,5.0005,1,0,7,381.00,SPY230411P00381000,0.01,0,0,0.01,0,4.7116,0,0,313
Tue Apr 11 2023,SPY230411C00382000,0,0,27.32,28.51,0,4.838,1,0,0,382.00,SPY230411P00382000,0.01,-0.005,0,0.01,17,4.557,0,0,733
Tue Apr 11 2023,SPY230411C00383000,27.92,1.94,26.32,27.51,11,4.6754,1,0,11,383.00,SPY230411P00383000,0.01,-0.005,0,0.01,5,4.4024,0,0,439
Tue Apr 11 2023,SPY230411C00384000,26.78,1.795,25.32,26.51,3,4.5127,1,0,18,384.00,SPY230411P00384000,0.01,-0.005,0,0.01,5,4.2478,0,0,777
Tue Apr 11 2023,SPY230411C00385000,25.77,1.785,24.32,25.51,8,4.35,1,0,43,385.00,SPY230411P00385000,0.01,-0.005,0,0.01,5,4.0931,0,0,791
Tue Apr 11 2023,SPY230411C00386000,24.97,1.985,23.32,24.51,1,4.1872,1,0,9,386.00,SPY230411P00386000,0.01,-0.005,0,0.01,19,3.9384,0,0,1386
Tue Apr 11 2023,SPY230411C00387000,23.91,1.925,22.32,23.51,7,4.0243,1,0,17,387.00,SPY230411P00387000,0.02,0.005,0,0.01,2,3.7836,0,0,956
Tue Apr 11 2023,SPY230411C00388000,21.62,0.63,21.32,22.51,12,3.8612,1,0,14,388.00,SPY230411P00388000,0.01,-0.005,0,0.01,26,3.6287,0,0,1350
Tue Apr 11 2023,SPY230411C00389000,20.59,0.6,20.32,21.51,8,3.6979,1,0,28,389.00,SPY230411P00389000,0.01,-0.005,0,0.01,4,3.4733,0,0,4662
Tue Apr 11 2023,SPY230411C00390000,19.92,0.93,19.32,20.5,36,3.5344,1,0,580,390.00,SPY230411P00390000,0.01,-0.005,0,0.01,14,3.3181,0,0,3403
Tue Apr 11 2023,SPY230411C00391000,18.38,0.39,18.32,19.5,5,3.3706,1,0,409,391.00,SPY230411P00391000,0.01,-0.005,0,0.01,6,3.1628,0,0,4246
Tue Apr 11 2023,SPY230411C00392000,17.74,0.75,17.32,18.5,51,3.2066,1,0,628,392.00,SPY230411P00392000,0.01,-0.005,0,0.01,18,3.0073,0,0,2917
Tue Apr 11 2023,SPY230411C00393000,17.27,1.28,16.32,17.5,9,3.0422,1,0,248,393.00,SPY230411P00393000,0.01,-0.005,0,0.01,6,2.8517,0,0,1702
Tue Apr 11 2023,SPY230411C00394000,15.67,0.675,15.32,16.5,53,2.8774,1,0,246,394.00,SPY230411P00394000,0.01,-0.005,0,0.01,16,2.6955,0,0,2916
Tue Apr 11 2023,SPY230411C00395000,14.95,0.955,14.32,15.5,33,3.2381,1,0,331,395.00,SPY230411P00395000,0.01,-0.005,0,0.01,1598,2.5389,0,0,3918
Tue Apr 11 2023,SPY230411C00396000,13.63,0.63,13.35,14.5,90,2.9253,1,0,411,396.00,SPY230411P00396000,0.01,-0.015,0,0.01,142,2.3819,0,0,4825
Tue Apr 11 2023,SPY230411C00397000,12.94,0.94,12.32,13.5,119,2.8,1,0,385,397.00,SPY230411P00397000,0.01,-0.015,0,0.01,732,2.2244,0,0,5882
Tue Apr 11 2023,SPY230411C00398000,11.85,0.845,11.36,12.52,94,2.6098,1,0.0001,625,398.00,SPY230411P00398000,0.01,-0.015,0,0.01,4307,2.0662,0,0.0001,3599
Tue Apr 11 2023,SPY230411C00399000,11.07,1.06,10.36,11.51,76,2.3641,0.9998,0.0002,438,399.00,SPY230411P00399000,0.01,-0.025,0,0.01,3526,1.9074,-0.0002,0.0002,7561
Tue Apr 11 2023,SPY230411C00400000,9.59,0.57,9.36,10.51,265,2.1745,0.9994,0.0007,755,400.00,SPY230411P00400000,0.01,-0.035,0,0.01,4039,1.7477,-0.0006,0.0007,8708
Tue Apr 11 2023,SPY230411C00401000,8.61,0.575,8.36,9.52,148,2.0307,0.9981,0.002,3811,401.00,SPY230411P00401000,0.01,-0.045,0,0.01,2891,1.587,-0.0019,0.002,7586
Tue Apr 11 2023,SPY230411C00402000,7.73,0.675,7.36,8.51,915,1.7901,0.9948,0.0048,3738,402.00,SPY230411P00402000,0.01,-0.065,0,0.01,6937,1.4254,-0.0052,0.0048,7578
Tue Apr 11 2023,SPY230411C00403000,6.77,0.675,6.36,7.52,496,1.635,0.9942,0.006,506,403.00,SPY230411P00403000,0.01,-0.095,0,0.01,10647,1.2623,-0.0058,0.006,20220
Tue Apr 11 2023,SPY230411C00404000,5.94,0.79,5.36,6.52,1486,1.433,0.9934,0.0077,1620,404.00,SPY230411P00404000,0.01,-0.155,0,0.01,14338,1.0972,-0.0066,0.0077,10075
Tue Apr 11 2023,SPY230411C00405000,4.95,0.71,4.36,5.5,3674,1.2273,0.9924,0.0103,2535,405.00,SPY230411P00405000,0.01,-0.245,0,0.01,37345,0.9305,-0.0076,0.0103,14276
Tue Apr 11 2023,SPY230411C00406000,3.94,0.57,3.36,4.5,4559,1.0167,0.9908,0.0148,8803,406.00,SPY230411P00406000,0.01,-0.385,0,0.01,44337,0.7603,-0.0092,0.0148,28748
Tue Apr 11 2023,SPY230411C00407000,2.95,0.375,2.85,2.97,11064,0.578,0.9885,0.0235,9297,407.00,SPY230411P00407000,0.01,-0.605,0,0.01,80658,0.5865,-0.0115,0.0235,17996
Tue Apr 11 2023,SPY230411C00408000,1.95,0.06,1.9,1.97,32769,0.5529,0.984,0.045,11269,408.00,SPY230411P00408000,0.01,-0.895,0,0.01,191388,0.4068,-0.016,0.045,14629
Tue Apr 11 2023,SPY230411C00409000,0.95,-0.345,0.9,0.95,146061,0.2823,0.972,0.1354,15137,409.00,SPY230411P00409000,0.01,-1.305,0,0.01,360433,0.2164,-0.028,0.1354,8546
Tue Apr 11 2023,SPY230411C00410000,0.07,-0.765,0.06,0.07,514779,0.1329,0.367,1.3557,16049,410.00,SPY230411P00410000,0.16,-1.68,0.15,0.17,418313,0.1153,-0.6387,1.4093,4792
