
SPDR S&P 500 ETF Trust,Last: 427.92,Change:  6.1
Date: 4 June 4, 3:15 PM EDT,Bid: 427.96,Ask: 428.03,Size: 1*6,Volume: 91,391,793
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Jun 05 2023,SPY230605C00379000,0,0,48.51,49.33,0,0.4831,0.9984,0.0002,0,379.00,SPY230605P00379000,0.01,-0.015,0,0.01,101,0.44,-0.0014,0.0002,48
Mon Jun 05 2023,SPY230605C00380000,48.33,6.945,47.51,48.33,48,0.4722,0.9983,0.0003,13,380.00,SPY230605P00380000,0.01,-0.015,0,0.01,126,0.4312,-0.0014,0.0003,113
Mon Jun 05 2023,SPY230605C00381000,44.74,4.385,46.51,47.34,1,0.4759,0.9982,0.0003,1,381.00,SPY230605P00381000,0.01,-0.015,0,0.01,816,0.4224,-0.0015,0.0003,80
Mon Jun 05 2023,SPY230605C00382000,0,0,45.51,46.34,0,0.465,0.9981,0.0003,0,382.00,SPY230605P00382000,0.01,-0.015,0,0.01,521,0.4136,-0.0016,0.0003,558
Mon Jun 05 2023,SPY230605C00383000,42.83,4.47,44.51,45.34,4,0.4542,0.998,0.0003,1,383.00,SPY230605P00383000,0.01,-0.015,0,0.01,114,0.4048,-0.0017,0.0003,419
Mon Jun 05 2023,SPY230605C00384000,44.42,7.04,43.51,44.34,5,0.4434,0.9979,0.0004,5,384.00,SPY230605P00384000,0.01,-0.015,0,0.01,898,0.396,-0.0018,0.0004,135
Mon Jun 05 2023,SPY230605C00385000,42.94,6.55,42.51,43.34,37,0.4327,0.9978,0.0004,5,385.00,SPY230605P00385000,0.01,-0.015,0,0.01,1013,0.3873,-0.0019,0.0004,565
Mon Jun 05 2023,SPY230605C00386000,0,0,41.51,42.34,0,0.4219,0.9977,0.0004,0,386.00,SPY230605P00386000,0.01,-0.025,0,0.01,2242,0.3785,-0.002,0.0004,312
Mon Jun 05 2023,SPY230605C00387000,34.08,0,40.51,41.34,0,0.4112,0.9976,0.0004,1,387.00,SPY230605P00387000,0.01,-0.025,0,0.01,101,0.3698,-0.0021,0.0004,418
Mon Jun 05 2023,SPY230605C00388000,37.7,4.335,39.51,40.34,2,0.4006,0.9974,0.0005,101,388.00,SPY230605P00388000,0.01,-0.025,0.01,0.02,137,0.3995,-0.0023,0.0005,159
Mon Jun 05 2023,SPY230605C00389000,38.35,5.98,38.51,39.34,1,0.3899,0.9973,0.0005,0,389.00,SPY230605P00389000,0.02,-0.015,0.01,0.02,14,0.39,-0.0024,0.0005,500
Mon Jun 05 2023,SPY230605C00390000,38.26,6.87,37.51,38.34,6,0.3793,0.9972,0.0006,22,390.00,SPY230605P00390000,0.01,-0.025,0,0.01,24,0.3435,-0.0025,0.0006,382
Mon Jun 05 2023,SPY230605C00391000,0,0,36.52,37.35,0,0.39,0.997,0.0006,0,391.00,SPY230605P00391000,0.01,-0.025,0.01,0.02,20,0.371,-0.0027,0.0006,4439
Mon Jun 05 2023,SPY230605C00392000,36.27,6.865,35.52,36.35,3,0.3793,0.9969,0.0006,0,392.00,SPY230605P00392000,0.02,-0.015,0.01,0.02,16,0.3615,-0.0028,0.0006,4423
Mon Jun 05 2023,SPY230605C00393000,0,0,34.52,35.35,0,0.3687,0.9967,0.0007,0,393.00,SPY230605P00393000,0.03,-0.005,0.01,0.02,1,0.352,-0.003,0.0007,1970
Mon Jun 05 2023,SPY230605C00394000,34.07,6.69,33.52,34.35,2,0.3581,0.9965,0.0007,10,394.00,SPY230605P00394000,0.01,-0.025,0.01,0.02,14,0.3425,-0.0032,0.0007,484
Mon Jun 05 2023,SPY230605C00395000,33.44,7.04,32.52,33.35,13,0.3475,0.9963,0.0008,32,395.00,SPY230605P00395000,0.02,-0.025,0.01,0.02,18,0.333,-0.0034,0.0008,14533
Mon Jun 05 2023,SPY230605C00396000,32.12,6.71,31.52,32.35,6,0.337,0.9961,0.0009,8,396.00,SPY230605P00396000,0.01,-0.035,0.01,0.02,25,0.3235,-0.0036,0.0009,555
